delivery_id,customer_id,customer_name,product_id,quantity,ship_date,ref_order,incoterms,source_table
D-900001,C-2001,Rheinmetall Automotive AG,GA-200,40,2026-09-17,PO-500001,FCA,LIKP
D-900002,C-2002,Voith Turbo GmbH,GA-200,60,2026-09-22,PO-500002,FCA,LIKP
D-900003,C-2003,Grundfos A/S,PU-50,20,2026-09-15,PO-500003,DAP,LIKP
D-900004,C-2003,Grundfos A/S,PU-50,45,2026-09-24,PO-500004,DAP,LIKP
D-900005,C-2004,SKF GmbH,MS-10,120,2026-09-12,PO-500005,EXW,LIKP
D-900006,C-2005,Bosch Rexroth AG,SB-3,200,2026-09-17,PO-500006,FCA,LIKP
D-900007,C-2006,Siemens Mobility GmbH,CM-100,25,2026-09-26,PO-500007,CPT,LIKP
D-900008,C-2006,Siemens Mobility GmbH,CM-100,25,2026-09-30,PO-500008,CPT,LIKP
D-900009,C-2001,Rheinmetall Automotive AG,GA-300,20,2026-10-02,PO-500009,FCA,LIKP
D-900010,C-2007,KSB SE & Co. KGaA,PU-80,35,2026-09-21,PO-500010,DAP,LIKP
D-900011,C-2004,SKF GmbH,MS-20,90,2026-09-19,PO-500011,EXW,LIKP
D-900012,C-2008,Krones AG,CM-200,15,2026-10-03,PO-500012,CPT,LIKP
D-900013,C-2002,Voith Turbo GmbH,PU-50,10,2026-09-19,PO-500003,FCA,LIKP
D-900014,C-2008,Krones AG,CM-100,10,2026-09-28,PO-500007,CPT,LIKP
D-900015,C-2001,Rheinmetall Automotive AG,GA-300,10,2026-10-05,PO-500009,FCA,LIKP
