order_id,plant_id,product_id,product_description,planned_finish_date,quantity,status,source_table
PO-500001,1000,GA-200,Gearbox Assembly GA-200,2026-09-15,40,REL,AFKO
PO-500002,1000,GA-200,Gearbox Assembly GA-200,2026-09-19,60,REL,AFKO
PO-500003,2000,PU-50,Pump Unit PU-50,2026-09-12,30,REL,AFKO
PO-500004,2000,PU-50,Pump Unit PU-50,2026-09-21,45,REL,AFKO
PO-500005,3000,MS-10,Machined Shaft MS-10,2026-09-10,120,REL,AFKO
PO-500006,3000,SB-3,Steel Bracket SB-3,2026-09-14,200,REL,AFKO
PO-500007,4000,CM-100,Conveyor Module CM-100,2026-09-23,25,REL,AFKO
PO-500008,4000,CM-100,Conveyor Module CM-100,2026-09-27,25,CRTD,AFKO
PO-500009,1000,GA-300,Gearbox Assembly GA-300,2026-09-29,20,CRTD,AFKO
PO-500010,2000,PU-80,Pump Unit PU-80,2026-09-18,35,REL,AFKO
PO-500011,3000,MS-20,Machined Shaft MS-20,2026-09-16,90,REL,AFKO
PO-500012,4000,CM-200,Conveyor Module CM-200,2026-09-30,15,CRTD,AFKO
