material_id,plant_id,storage_location,unrestricted_stock,reorder_point,mrp_controller,source_table
M-1001,1000,0005,4266,168,194,MARC
M-1001,3000,0007,4968,260,175,MARC
M-1001,4000,0002,1737,577,195,MARC
M-1002,1000,0006,2570,626,193,MARC
M-1002,3000,0011,935,117,119,MARC
M-1002,4000,0001,4001,303,105,MARC
M-1003,1000,0006,2262,546,177,MARC
M-1003,3000,0003,1440,163,113,MARC
M-1003,4000,0010,3062,766,141,MARC
M-1004,2000,0006,4814,417,111,MARC
M-1004,4000,0003,3582,602,171,MARC
M-2001,3000,0001,3549,639,135,MARC
M-2002,4000,0004,2293,377,118,MARC
M-2003,3000,0001,145,510,127,MARC
M-3001,1000,0005,160,121,152,MARC
M-3002,2000,0002,1846,290,154,MARC
M-4001,1000,0002,4503,443,168,MARC
M-4001,2000,0004,4577,702,158,MARC
M-4002,2000,0005,130,319,166,MARC
M-5001,1000,0001,3554,117,123,MARC
M-5001,2000,0010,3272,89,130,MARC
M-5002,2000,0007,381,158,188,MARC
M-5002,4000,0011,2587,731,175,MARC
M-6001,1000,0004,1206,292,185,MARC
M-6001,2000,0007,3041,618,164,MARC
