material_id,order_id,quantity_per,total_quantity,requirement_date,reservation_no,source_table
M-1001,PO-500001,16,640,2026-09-09,00982403,RESB
M-1002,PO-500001,16,640,2026-09-13,00196710,RESB
M-1003,PO-500001,32,1280,2026-09-10,00512058,RESB
M-3001,PO-500001,1,40,2026-09-11,00688231,RESB
M-5001,PO-500001,2,80,2026-09-11,00390182,RESB
M-6001,PO-500001,1,40,2026-09-07,00319118,RESB
M-1001,PO-500002,16,960,2026-09-13,00703433,RESB
M-1002,PO-500002,16,960,2026-09-11,00694794,RESB
M-3001,PO-500002,1,60,2026-09-16,00454916,RESB
M-5001,PO-500002,2,120,2026-09-17,00413727,RESB
M-1004,PO-500003,8,240,2026-09-10,00672538,RESB
M-3002,PO-500003,1,30,2026-09-07,00225041,RESB
M-4001,PO-500003,2,60,2026-09-05,00424705,RESB
M-5001,PO-500003,1,30,2026-09-08,00539621,RESB
M-6001,PO-500003,1,30,2026-09-06,00699950,RESB
M-1004,PO-500004,8,360,2026-09-15,00298848,RESB
M-3002,PO-500004,1,45,2026-09-15,00995810,RESB
M-4002,PO-500004,2,90,2026-09-17,00068272,RESB
M-2003,PO-500005,1,120,2026-09-03,00219008,RESB
M-1001,PO-500005,2,240,2026-09-02,00791241,RESB
M-2001,PO-500006,1,200,2026-09-10,00741476,RESB
M-1002,PO-500006,4,800,2026-09-11,00329257,RESB
M-1003,PO-500006,4,800,2026-09-11,00387576,RESB
M-2002,PO-500007,2,50,2026-09-21,00374892,RESB
M-1001,PO-500007,24,600,2026-09-16,00743161,RESB
M-1002,PO-500007,24,600,2026-09-19,00788283,RESB
M-1003,PO-500007,48,1200,2026-09-16,00889896,RESB
M-5002,PO-500007,4,100,2026-09-15,00753629,RESB
M-2002,PO-500008,2,50,2026-09-23,00574478,RESB
M-1004,PO-500008,12,300,2026-09-24,00635169,RESB
M-5002,PO-500008,4,100,2026-09-20,00171342,RESB
M-3001,PO-500009,1,20,2026-09-23,00435496,RESB
M-5001,PO-500009,3,60,2026-09-21,00867334,RESB
M-1001,PO-500009,20,400,2026-09-25,00192820,RESB
M-4001,PO-500009,1,20,2026-09-25,00488645,RESB
M-6001,PO-500009,1,20,2026-09-23,00932651,RESB
M-3002,PO-500010,1,35,2026-09-14,00449072,RESB
M-4001,PO-500010,3,105,2026-09-16,00182611,RESB
M-1004,PO-500010,10,350,2026-09-12,00685131,RESB
M-5002,PO-500010,2,70,2026-09-15,00927177,RESB
M-2003,PO-500011,1,90,2026-09-14,00797157,RESB
M-2001,PO-500011,1,90,2026-09-09,00238788,RESB
M-2002,PO-500012,3,45,2026-09-22,00854685,RESB
M-1001,PO-500012,30,450,2026-09-25,00896104,RESB
M-1002,PO-500012,30,450,2026-09-23,00460527,RESB
M-5002,PO-500012,6,90,2026-09-27,00352998,RESB
