order_id,delivery_id,ship_date,source_table
PO-500001,D-900001,2026-09-17,LIPS
PO-500002,D-900002,2026-09-22,LIPS
PO-500003,D-900003,2026-09-15,LIPS
PO-500004,D-900004,2026-09-24,LIPS
PO-500005,D-900005,2026-09-12,LIPS
PO-500006,D-900006,2026-09-17,LIPS
PO-500007,D-900007,2026-09-26,LIPS
PO-500008,D-900008,2026-09-30,LIPS
PO-500009,D-900009,2026-10-02,LIPS
PO-500010,D-900010,2026-09-21,LIPS
PO-500011,D-900011,2026-09-19,LIPS
PO-500012,D-900012,2026-10-03,LIPS
PO-500003,D-900013,2026-09-19,LIPS
PO-500007,D-900014,2026-09-28,LIPS
PO-500009,D-900015,2026-10-05,LIPS
