supplier_id,material_id,contract_id,price_per_unit,currency,planned_delivery_days,source_table
100234,M-1001,4600269001,30.53,EUR,28,EKPO
100234,M-1002,4600163461,16.21,EUR,20,EKPO
100234,M-1003,4600119431,25.49,EUR,23,EKPO
100234,M-1004,4600452830,11.1,EUR,36,EKPO
100234,M-1005,4600984701,13.73,EUR,8,EKPO
100567,M-2001,4600934053,16.78,EUR,32,EKPO
100567,M-2002,4600672362,26.81,EUR,38,EKPO
100567,M-2003,4600446100,26.53,EUR,9,EKPO
100812,M-3001,4600793188,36.79,EUR,28,EKPO
100812,M-3002,4600731983,38.27,EUR,30,EKPO
101245,M-4001,4600372220,9.84,EUR,37,EKPO
101245,M-4002,4600545796,18.85,EUR,43,EKPO
101876,M-5001,4600543461,10.98,EUR,31,EKPO
101876,M-5002,4600301761,22.48,EUR,12,EKPO
102455,M-6001,4600209846,25.04,EUR,37,EKPO
